,0 minutes,30 minutes,60 minutes
2018-08-24 00:00:00,15.19528082942096,13.896943613189174,12.048038938256507
2018-08-24 01:30:00,9.918222793355689,11.154779752587473,17.415400590565945
2018-08-24 02:00:00,8.797404503077615,8.371871212528362,9.335713705144132
2018-08-24 03:30:00,11.60368462915633,21.52405213743937,38.750223463965774
2018-08-24 04:00:00,13.62054747346462,15.4889202272891,16.763062128267396
2018-08-24 05:30:00,16.805099133356062,18.481148743120826,24.491845434297012
2018-08-24 06:00:00,16.309307528945663,14.9893913888069,13.113942093618329
2018-08-24 07:30:00,10.922475659381062,17.209368442879878,32.51985846167541
2018-08-24 08:00:00,9.240717298064329,8.974523458733064,10.179780217639006
2018-08-24 09:30:00,11.901293332661975,24.89963472777596,47.129992323323386
2018-08-24 10:00:00,14.248339955349019,15.780396288688573,16.641632627904464
2018-08-24 11:30:00,16.86098320031362,20.41074711730984,30.5243960835748
2018-08-24 12:00:00,15.974340245426363,14.564269361670586,12.809638262076476
2018-08-24 13:30:00,10.183277304796697,10.771725111284988,17.198810199469314
2018-08-24 14:00:00,8.728135762516787,8.822242954418018,10.608313320990648
2018-08-24 15:30:00,12.79237932296918,19.90329491725429,32.14742137301461
2018-08-24 15:59:44,0.0,0.0,0.0
2018-08-24 16:00:00,14.94114102218791,16.94901028762581,18.285653826010535
2018-08-24 17:25:00,18.947062900397604,19.42907760413672,21.96487982613533
2018-08-24 17:30:00,18.059729418860684,18.547688589475428,21.586631743178135
2018-08-24 17:59:44,0.0,0.0,0.0
2018-08-24 19:30:00,12.358340114376144,16.30904512657656,28.80078012244943
2018-08-24 20:00:00,10.794380610092633,10.459208294432514,11.567785862231224
2018-08-24 21:30:00,13.640227609045223,23.094284960819923,39.603335335798675
2018-08-24 22:00:00,16.477401227322723,18.018798040468475,18.697789331600067
2018-08-24 23:30:00,19.088182671683036,,
