,2018-08-24 00:00:00,2018-08-24 01:30:00,2018-08-24 02:00:00,2018-08-24 03:30:00,2018-08-24 04:00:00,2018-08-24 05:30:00,2018-08-24 06:00:00,2018-08-24 07:30:00,2018-08-24 08:00:00,2018-08-24 09:30:00,2018-08-24 10:00:00,2018-08-24 11:30:00,2018-08-24 12:00:00,2018-08-24 13:30:00,2018-08-24 14:00:00,2018-08-24 15:30:00,2018-08-24 15:59:44,2018-08-24 16:00:00,2018-08-24 17:25:00,2018-08-24 17:30:00,2018-08-24 17:59:44,2018-08-24 19:30:00,2018-08-24 20:00:00,2018-08-24 21:30:00,2018-08-24 22:00:00,2018-08-24 23:30:00
-60 minutes,790174.5857113927,20.018140699696737,11.853807687173896,36.86714384520068,9.844841389154665,24.194356041341457,16.55629847030234,35.6091942674974,13.21534522157733,43.90462765557327,9.913557339362269,31.85817426142429,16.95773446667324,20.269274145655373,12.596557837864497,29.11381605779727,0,10.899757281679273,21.58620968919239,21.849869776884297,0,32.483295582124015,14.58152872024583,35.798002131332524,11.101583533307746,33.50881286441935
-30 minutes,793222.1872956755,13.507719929033005,10.12290046385154,19.564603778685903,11.615488685932014,18.273893312799142,16.85333877465704,20.30819208022374,10.96432106368633,21.542233784803162,12.101931613423293,21.45533872847464,16.844104034787275,13.557539035148816,10.304768027922444,17.00130003116873,0,12.810387239597086,19.225613732916816,18.773537141299418,0,19.78759430080203,12.416477757877999,19.314643763177262,13.943450877052765,23.18415260312185
0 minutes,15.19528082942096,9.91822279335569,8.797404503077615,11.60368462915633,13.62054747346462,16.80509913335606,16.309307528945663,10.922475659381062,9.24071729806433,11.901293332661975,14.24833995534902,16.86098320031362,15.974340245426362,10.183277304796698,8.728135762516787,12.792379322969182,0,14.94114102218791,18.947062900397604,18.059729418860684,0,12.358340114376146,10.794380610092631,13.640227609045219,16.477401227322723,19.088182671683033
30 minutes,13.896943613189176,11.154779752587471,8.371871212528363,21.524052137439373,15.4889202272891,18.481148743120826,14.989391388806899,17.209368442879878,8.974523458733064,24.89963472777596,15.780396288688577,20.41074711730984,14.564269361670583,10.771725111284987,8.822242954418018,19.903294917254286,0,16.94901028762581,19.429077604136722,18.54768858947543,0,16.30904512657656,10.459208294432514,23.09428496081992,18.018798040468475,782779.6679972586
60 minutes,12.048038938256509,17.415400590565945,9.33571370514413,38.75022346396577,16.763062128267396,24.49184543429701,13.113942093618329,32.51985846167541,10.179780217639006,47.129992323323386,16.641632627904464,30.5243960835748,12.809638262076477,17.198810199469314,10.608313320990648,32.14742137301461,0,18.285653826010538,21.964879826135327,21.586631743178135,0,28.800780122449428,11.567785862231224,39.603335335798675,18.697789331600067,761444.8180683564
