,0 minutes,30 minutes,60 minutes
2018-08-24 00:00:00,21.613287719897922,19.906045882031318,17.35983905941248
2018-08-24 01:30:00,14.333422599360347,18.43258711975068,24.381820948328823
2018-08-24 02:00:00,11.99030792620033,9.755908323917536,11.464365324936807
2018-08-24 03:30:00,15.734706316143274,35.45109635777772,60.56892075762153
2018-08-24 04:00:00,19.217023536562923,21.874096922576427,23.406616756692532
2018-08-24 05:30:00,23.71525877248496,20.19766334723681,36.35199607536197
2018-08-24 06:00:00,22.840275517664853,20.974638987332586,18.509233020246032
2018-08-24 07:30:00,15.484188102185724,25.083670151419934,53.796099115163095
2018-08-24 08:00:00,12.885823952965438,10.839673184789717,12.139993461314587
2018-08-24 09:30:00,16.239216548390687,42.213431172072895,79.91982048004866
2018-08-24 10:00:00,19.99097208119929,22.58143400587141,24.025270652957264
2018-08-24 11:30:00,24.325885509606447,29.853654111735526,39.246687978506095
2018-08-24 12:00:00,23.171937533654276,21.066210024058822,18.344668265432123
2018-08-24 13:30:00,14.694734608754516,17.872669799253345,24.469637206755575
2018-08-24 14:00:00,11.801695441827178,9.90863625193015,13.698832435067745
2018-08-24 15:30:00,18.10788752976805,32.15802885964513,50.3044062294066
2018-08-24 15:59:44,0.0,0.0,0.0
2018-08-24 16:00:00,21.800449844449762,24.6006219368428,26.07456443877891
2018-08-24 17:25:00,26.05341544793919,21.639983422122892,30.585150016471747
2018-08-24 17:30:00,26.146386038511988,19.746072133071717,30.42079413868487
2018-08-24 17:59:44,0.0,0.0,0.0
2018-08-24 19:30:00,17.58642071671784,22.59626745246351,46.382721910020344
2018-08-24 20:00:00,14.904967264272273,12.29738073120825,13.679379641544076
2018-08-24 21:30:00,18.08547780010849,37.48280015401542,68.51154617965221
2018-08-24 22:00:00,22.16625284776092,24.968198236078024,26.66072251042351
2018-08-24 23:30:00,26.90064841508865,,
